time,current,speed
0.68,7.3814,23.142
0.681,7.3865,23.19
0.682,7.3915,23.237
0.683,7.3965,23.284
0.684,7.4015,23.332
0.685,7.4065,23.379
0.686,7.4115,23.426
0.687,7.4164,23.474
0.688,7.4214,23.521
0.689,7.4263,23.568
0.69,7.4313,23.616
0.691,7.4362,23.663
0.692,7.4411,23.711
0.693,7.446,23.758
0.694,7.4509,23.805
0.695,7.4558,23.853
0.696,7.4607,23.9
0.697,7.4656,23.947
0.698,7.4704,23.995
0.699,7.4753,24.042
0.7,7.4801,24.089
0.701,7.485,24.137
0.702,7.4898,24.184
0.703,7.4946,24.231
0.704,7.4994,24.279
0.705,7.5042,24.326
0.706,7.509,24.373
0.707,7.5137,24.421
0.708,7.5185,24.468
0.709,7.5232,24.515
0.71,7.528,24.563
0.711,7.5327,24.61
0.712,7.5374,24.657
0.713,7.5422,24.705
0.714,7.5469,24.752
0.715,7.5516,24.799
0.716,7.5562,24.846
0.717,7.5609,24.894
0.718,7.5656,24.941
0.719,7.5702,24.988
0.72,7.5749,25.036
0.721,7.5795,25.083
0.722,7.5841,25.13
0.723,7.5888,25.178
0.724,7.5934,25.225
0.725,7.598,25.272
0.726,7.6026,25.319
0.727,7.6071,25.367
0.728,7.6117,25.414
0.729,7.6163,25.461
0.73,7.6208,25.509
0.731,7.6254,25.556
0.732,7.6299,25.603
0.733,7.6344,25.65
0.734,7.6389,25.698
0.735,7.6434,25.745
0.736,7.6479,25.792
0.737,7.6524,25.839
0.738,7.6569,25.886
0.739,7.6614,25.934
0.74,7.6658,25.981
0.741,7.6703,26.028
0.742,7.6747,26.075
0.743,7.6792,26.123
0.744,7.6836,26.17
0.745,7.688,26.217
0.746,7.6924,26.264
0.747,7.6968,26.311
0.748,7.7012,26.359
0.749,7.7056,26.406
0.75,7.71,26.453
0.751,7.7143,26.5
0.752,7.7187,26.547
0.753,7.723,26.594
0.754,7.7273,26.642
0.755,7.7317,26.689
0.756,7.736,26.736
0.757,7.7403,26.783
0.758,7.7446,26.83
0.759,7.7489,26.877
0.76,7.7532,26.924
0.761,7.7574,26.971
0.762,7.7617,27.018
0.763,7.766,27.066
0.764,7.7702,27.113
0.765,7.7744,27.16
0.766,7.7787,27.207
0.767,7.7829,27.254
0.768,7.7871,27.301
